Flag	Index	Class	DBE	Neutral DBE	Formula	Adduct	Exp m/z	Mono Abund	Total Abund	Calc m/z	mDa Error	ppm Error	Kendrick m/z	KMD	Z Number	#C	#H	#N	#O	#S	H/C	N/C	O/C	S/C
+	 136 	O	 16.5 	 17.0 	C24H16O	H	 321.127489 	 135358320.00 	 135358320.00 	 321.127392 	 -0.0974 	 -0.3033 	 320.7689 	 0.2311 	 -32 	 24 	 16 	 0 	 1 	 0 	 0.6667 	 0.0000 	 0.0417 	 0.0000 
+	 137 	O	 16.5 	 17.0 	C25H18O	H	 335.143141 	 97408776.00 	 97408776.00 	 335.143042 	 -0.0993 	 -0.2964 	 334.7689 	 0.2311 	 -32 	 25 	 18 	 0 	 1 	 0 	 0.7200 	 0.0000 	 0.0400 	 0.0000 
+	 138 	O	 17.5 	 18.0 	C23H12O	H	 305.096196 	 3525806848.00 	 4421662984.00 	 305.096091 	 0.1045 	 0.3426 	 304.7555 	 0.2445 	 -34 	 23 	 12 	 0 	 1 	 0 	 0.5217 	 0.0000 	 0.0435 	 0.0000 
+	 139 	O	 17.5 	 18.0 	C24H14O	H	 319.111913 	 436628256.00 	 516830312.00 	 319.111742 	 -0.1715 	 -0.5374 	 318.7556 	 0.2444 	 -34 	 24 	 14 	 0 	 1 	 0 	 0.5833 	 0.0000 	 0.0417 	 0.0000 
+	 140 	O	 17.5 	 18.0 	C25H16O	H	 333.127623 	 199546944.00 	 199546944.00 	 333.127392 	 -0.2314 	 -0.6947 	 332.7556 	 0.2444 	 -34 	 25 	 16 	 0 	 1 	 0 	 0.6400 	 0.0000 	 0.0400 	 0.0000 
+	 141 	O	 17.5 	 18.0 	C26H18O	H	 347.143139 	 109516424.00 	 109516424.00 	 347.143042 	 -0.0973 	 -0.2804 	 346.7555 	 0.2445 	 -34 	 26 	 18 	 0 	 1 	 0 	 0.6923 	 0.0000 	 0.0385 	 0.0000 
+	 142 	O	 17.5 	 18.0 	C27H20O	H	 361.158854 	 55632140.00 	 55632140.00 	 361.158692 	 -0.1623 	 -0.4493 	 360.7556 	 0.2444 	 -34 	 27 	 20 	 0 	 1 	 0 	 0.7407 	 0.0000 	 0.0370 	 0.0000 
+	 143 	O	 18.5 	 19.0 	C24H12O	H	 317.096257 	 379678528.00 	 456580200.00 	 317.096091 	 -0.1655 	 -0.5221 	 316.7422 	 0.2578 	 -36 	 24 	 12 	 0 	 1 	 0 	 0.5000 	 0.0000 	 0.0417 	 0.0000 
+	 144 	O	 18.5 	 19.0 	C25H14O	H	 331.111772 	 1079204352.00 	 1294480128.00 	 331.111742 	 -0.0305 	 -0.0920 	 330.7420 	 0.2580 	 -36 	 25 	 14 	 0 	 1 	 0 	 0.5600 	 0.0000 	 0.0400 	 0.0000 
+	 145 	O	 18.5 	 19.0 	C26H16O	H	 345.127590 	 198432224.00 	 198432224.00 	 345.127392 	 -0.1984 	 -0.5749 	 344.7422 	 0.2578 	 -36 	 26 	 16 	 0 	 1 	 0 	 0.6154 	 0.0000 	 0.0385 	 0.0000 
+	 146 	O	 18.5 	 19.0 	C27H18O	H	 359.143056 	 286351104.00 	 342630144.00 	 359.143042 	 -0.0143 	 -0.0400 	 358.7420 	 0.2580 	 -36 	 27 	 18 	 0 	 1 	 0 	 0.6667 	 0.0000 	 0.0370 	 0.0000 
+	 147 	O	 18.5 	 19.0 	C28H20O	H	 373.158654 	 72232832.00 	 72232832.00 	 373.158692 	 0.0377 	 0.1011 	 372.7420 	 0.2580 	 -36 	 28 	 20 	 0 	 1 	 0 	 0.7143 	 0.0000 	 0.0357 	 0.0000 
+	 148 	O	 19.5 	 20.0 	C25H12O	H	 329.096220 	 3009895424.00 	 3845075100.00 	 329.096091 	 -0.1285 	 -0.3906 	 328.7287 	 0.2713 	 -38 	 25 	 12 	 0 	 1 	 0 	 0.4800 	 0.0000 	 0.0400 	 0.0000 
+	 149 	O	 19.5 	 20.0 	C26H14O	H	 343.111913 	 423712128.00 	 515353392.00 	 343.111742 	 -0.1715 	 -0.4998 	 342.7288 	 0.2712 	 -38 	 26 	 14 	 0 	 1 	 0 	 0.5385 	 0.0000 	 0.0385 	 0.0000 
+	 150 	O	 19.5 	 20.0 	C27H16O	H	 357.127552 	 407919904.00 	 500972328.00 	 357.127392 	 -0.1604 	 -0.4492 	 356.7288 	 0.2712 	 -38 	 27 	 16 	 0 	 1 	 0 	 0.5926 	 0.0000 	 0.0370 	 0.0000 
+	 151 	O	 19.5 	 20.0 	C28H18O	H	 371.142980 	 335703264.00 	 407984904.00 	 371.143042 	 0.0617 	 0.1661 	 370.7286 	 0.2714 	 -38 	 28 	 18 	 0 	 1 	 0 	 0.6429 	 0.0000 	 0.0357 	 0.0000 
+	 152 	O	 19.5 	 20.0 	C29H20O	H	 385.158657 	 146603824.00 	 146603824.00 	 385.158692 	 0.0347 	 0.0901 	 384.7286 	 0.2714 	 -38 	 29 	 20 	 0 	 1 	 0 	 0.6897 	 0.0000 	 0.0345 	 0.0000 
+	 153 	O	 20.5 	 21.0 	C26H12O	H	 341.096075 	 116856176.00 	 116856176.00 	 341.096091 	 0.0165 	 0.0483 	 340.7152 	 0.2848 	 -40 	 26 	 12 	 0 	 1 	 0 	 0.4615 	 0.0000 	 0.0385 	 0.0000 
+	 154 	O	 20.5 	 21.0 	C27H14O	H	 355.111802 	 1389321088.00 	 1749661632.00 	 355.111742 	 -0.0605 	 -0.1703 	 354.7153 	 0.2847 	 -40 	 27 	 14 	 0 	 1 	 0 	 0.5185 	 0.0000 	 0.0370 	 0.0000 
+	 155 	O	 20.5 	 21.0 	C28H16O	H	 369.127474 	 291531360.00 	 354891252.00 	 369.127392 	 -0.0824 	 -0.2233 	 368.7153 	 0.2847 	 -40 	 28 	 16 	 0 	 1 	 0 	 0.5714 	 0.0000 	 0.0357 	 0.0000 
+	 156 	O	 20.5 	 21.0 	C29H18O	H	 383.143167 	 329350304.00 	 409483912.00 	 383.143042 	 -0.1253 	 -0.3272 	 382.7153 	 0.2847 	 -40 	 29 	 18 	 0 	 1 	 0 	 0.6207 	 0.0000 	 0.0345 	 0.0000 
+	 157 	O	 20.5 	 21.0 	C30H20O	H	 397.158621 	 108580000.00 	 108580000.00 	 397.158692 	 0.0707 	 0.1781 	 396.7151 	 0.2849 	 -40 	 30 	 20 	 0 	 1 	 0 	 0.6667 	 0.0000 	 0.0333 	 0.0000 
+	 158 	O	 21.5 	 22.0 	C27H12O	H	 353.096252 	 511269344.00 	 615576688.00 	 353.096091 	 -0.1605 	 -0.4547 	 352.7020 	 0.2980 	 -42 	 27 	 12 	 0 	 1 	 0 	 0.4444 	 0.0000 	 0.0370 	 0.0000 
+	 159 	O	 21.5 	 22.0 	C28H14O	H	 367.111705 	 319186912.00 	 391991536.00 	 367.111742 	 0.0365 	 0.0995 	 366.7018 	 0.2982 	 -42 	 28 	 14 	 0 	 1 	 0 	 0.5000 	 0.0000 	 0.0357 	 0.0000 
+	 160 	O	 21.5 	 22.0 	C29H16O	H	 381.127347 	 560691712.00 	 692581712.00 	 381.127392 	 0.0446 	 0.1170 	 380.7018 	 0.2982 	 -42 	 29 	 16 	 0 	 1 	 0 	 0.5517 	 0.0000 	 0.0345 	 0.0000 
+	 161 	O	 21.5 	 22.0 	C30H18O	H	 395.143295 	 240618160.00 	 312989272.00 	 395.143042 	 -0.2533 	 -0.6412 	 394.7021 	 0.2979 	 -42 	 30 	 18 	 0 	 1 	 0 	 0.6000 	 0.0000 	 0.0333 	 0.0000 
+	 162 	O	 21.5 	 22.0 	C31H20O	H	 409.158769 	 193041648.00 	 253127264.00 	 409.158692 	 -0.0773 	 -0.1889 	 408.7019 	 0.2981 	 -42 	 31 	 20 	 0 	 1 	 0 	 0.6452 	 0.0000 	 0.0323 	 0.0000 
+	 163 	O	 21.5 	 22.0 	C32H22O	H	 423.174370 	 55433528.00 	 55433528.00 	 423.174342 	 -0.0282 	 -0.0667 	 422.7018 	 0.2982 	 -42 	 32 	 22 	 0 	 1 	 0 	 0.6875 	 0.0000 	 0.0312 	 0.0000 
+	 164 	O	 22.5 	 23.0 	C29H14O	H	 379.111695 	 1594587008.00 	 2094738997.38 	 379.111742 	 0.0465 	 0.1227 	 378.6884 	 0.3116 	 -44 	 29 	 14 	 0 	 1 	 0 	 0.4828 	 0.0000 	 0.0345 	 0.0000 
+	 165 	O	 22.5 	 23.0 	C30H16O	H	 393.127627 	 266897552.00 	 333435444.00 	 393.127392 	 -0.2354 	 -0.5988 	 392.6887 	 0.3113 	 -44 	 30 	 16 	 0 	 1 	 0 	 0.5333 	 0.0000 	 0.0333 	 0.0000 
+	 166 	O	 22.5 	 23.0 	C31H18O	H	 407.143097 	 276206560.00 	 343926864.00 	 407.143042 	 -0.0553 	 -0.1359 	 406.6885 	 0.3115 	 -44 	 31 	 18 	 0 	 1 	 0 	 0.5806 	 0.0000 	 0.0323 	 0.0000 
+	 167 	O	 22.5 	 23.0 	C32H20O	H	 421.158744 	 200775904.00 	 260534768.00 	 421.158692 	 -0.0523 	 -0.1241 	 420.6885 	 0.3115 	 -44 	 32 	 20 	 0 	 1 	 0 	 0.6250 	 0.0000 	 0.0312 	 0.0000 
+	 168 	O	 22.5 	 23.0 	C33H22O	H	 435.174366 	 80173576.00 	 80173576.00 	 435.174342 	 -0.0242 	 -0.0557 	 434.6884 	 0.3116 	 -44 	 33 	 22 	 0 	 1 	 0 	 0.6667 	 0.0000 	 0.0303 	 0.0000 
+	 169 	O	 23.5 	 24.0 	C30H14O	H	 391.111772 	 220694112.00 	 220694112.00 	 391.111742 	 -0.0305 	 -0.0779 	 390.6751 	 0.3249 	 -46 	 30 	 14 	 0 	 1 	 0 	 0.4667 	 0.0000 	 0.0333 	 0.0000 
+	 170 	O	 23.5 	 24.0 	C31H16O	H	 405.127508 	 506565312.00 	 640820752.00 	 405.127392 	 -0.1164 	 -0.2873 	 404.6751 	 0.3249 	 -46 	 31 	 16 	 0 	 1 	 0 	 0.5161 	 0.0000 	 0.0323 	 0.0000 
+	 171 	O	 23.5 	 24.0 	C32H18O	H	 419.143103 	 224958576.00 	 293990688.00 	 419.143042 	 -0.0613 	 -0.1464 	 418.6751 	 0.3249 	 -46 	 32 	 18 	 0 	 1 	 0 	 0.5625 	 0.0000 	 0.0312 	 0.0000 
+	 172 	O	 23.5 	 24.0 	C33H20O	H	 433.158757 	 437623296.00 	 551859208.00 	 433.158692 	 -0.0653 	 -0.1507 	 432.6751 	 0.3249 	 -46 	 33 	 20 	 0 	 1 	 0 	 0.6061 	 0.0000 	 0.0303 	 0.0000 
+	 173 	O	 23.5 	 24.0 	C34H22O	H	 447.174381 	 84564472.00 	 84564472.00 	 447.174342 	 -0.0392 	 -0.0877 	 446.6751 	 0.3249 	 -46 	 34 	 22 	 0 	 1 	 0 	 0.6471 	 0.0000 	 0.0294 	 0.0000 
+	 174 	O	 24.5 	 25.0 	C31H14O	H	 403.111846 	 1070829952.00 	 1383408544.00 	 403.111742 	 -0.1045 	 -0.2592 	 402.6617 	 0.3383 	 -48 	 31 	 14 	 0 	 1 	 0 	 0.4516 	 0.0000 	 0.0323 	 0.0000 
+	 175 	O	 24.5 	 25.0 	C32H16O	H	 417.127476 	 250845168.00 	 325398568.00 	 417.127392 	 -0.0844 	 -0.2024 	 416.6617 	 0.3383 	 -48 	 32 	 16 	 0 	 1 	 0 	 0.5000 	 0.0000 	 0.0312 	 0.0000 
+	 176 	O	 24.5 	 25.0 	C33H18O	H	 431.143134 	 333158912.00 	 432944120.00 	 431.143042 	 -0.0923 	 -0.2142 	 430.6617 	 0.3383 	 -48 	 33 	 18 	 0 	 1 	 0 	 0.5455 	 0.0000 	 0.0303 	 0.0000 
+	 177 	O	 24.5 	 25.0 	C34H20O	H	 445.158748 	 208312832.00 	 271070200.00 	 445.158692 	 -0.0563 	 -0.1264 	 444.6617 	 0.3383 	 -48 	 34 	 20 	 0 	 1 	 0 	 0.5882 	 0.0000 	 0.0294 	 0.0000 
+	 178 	O	 24.5 	 25.0 	C35H22O	H	 459.174436 	 124492456.00 	 124492456.00 	 459.174342 	 -0.0942 	 -0.2052 	 458.6617 	 0.3383 	 -48 	 35 	 22 	 0 	 1 	 0 	 0.6286 	 0.0000 	 0.0286 	 0.0000 
+	 179 	O	 25.5 	 26.0 	C32H14O	H	 415.111798 	 95999832.00 	 95999832.00 	 415.111742 	 -0.0565 	 -0.1361 	 414.6483 	 0.3517 	 -50 	 32 	 14 	 0 	 1 	 0 	 0.4375 	 0.0000 	 0.0312 	 0.0000 
+	 180 	O	 25.5 	 26.0 	C33H16O	H	 429.127472 	 732666304.00 	 953693088.00 	 429.127392 	 -0.0804 	 -0.1874 	 428.6483 	 0.3517 	 -50 	 33 	 16 	 0 	 1 	 0 	 0.4848 	 0.0000 	 0.0303 	 0.0000 
+	 181 	O	 25.5 	 26.0 	C34H18O	H	 443.143111 	 272931328.00 	 345289728.00 	 443.143042 	 -0.0693 	 -0.1565 	 442.6483 	 0.3517 	 -50 	 34 	 18 	 0 	 1 	 0 	 0.5294 	 0.0000 	 0.0294 	 0.0000 
+	 182 	O	 25.5 	 26.0 	C35H20O	H	 457.158772 	 350591584.00 	 455980264.00 	 457.158692 	 -0.0803 	 -0.1756 	 456.6483 	 0.3517 	 -50 	 35 	 20 	 0 	 1 	 0 	 0.5714 	 0.0000 	 0.0286 	 0.0000 
+	 183 	O	 25.5 	 26.0 	C36H22O	H	 471.174390 	 121314744.00 	 121314744.00 	 471.174342 	 -0.0482 	 -0.1023 	 470.6483 	 0.3517 	 -50 	 36 	 22 	 0 	 1 	 0 	 0.6111 	 0.0000 	 0.0278 	 0.0000 
+	 184 	O	 26.5 	 27.0 	C33H14O	H	 427.111811 	 499882400.00 	 629158760.00 	 427.111742 	 -0.0695 	 -0.1627 	 426.6349 	 0.3651 	 -52 	 33 	 14 	 0 	 1 	 0 	 0.4242 	 0.0000 	 0.0303 	 0.0000 
+	 185 	O	 26.5 	 27.0 	C34H16O	H	 441.127462 	 190618112.00 	 253965312.00 	 441.127392 	 -0.0704 	 -0.1596 	 440.6349 	 0.3651 	 -52 	 34 	 16 	 0 	 1 	 0 	 0.4706 	 0.0000 	 0.0294 	 0.0000 
+	 186 	O	 26.5 	 27.0 	C35H18O	H	 455.143172 	 338336320.00 	 450868368.00 	 455.143042 	 -0.1303 	 -0.2864 	 454.6350 	 0.3650 	 -52 	 35 	 18 	 0 	 1 	 0 	 0.5143 	 0.0000 	 0.0286 	 0.0000 
+	 187 	O	 26.5 	 27.0 	C36H20O	H	 469.158803 	 237149440.00 	 312048216.00 	 469.158692 	 -0.1113 	 -0.2372 	 468.6349 	 0.3651 	 -52 	 36 	 20 	 0 	 1 	 0 	 0.5556 	 0.0000 	 0.0278 	 0.0000 
+	 188 	O	 26.5 	 27.0 	C37H22O	H	 483.174466 	 162112480.00 	 217565284.00 	 483.174342 	 -0.1242 	 -0.2571 	 482.6349 	 0.3651 	 -52 	 37 	 22 	 0 	 1 	 0 	 0.5946 	 0.0000 	 0.0270 	 0.0000 
+	 189 	O	 27.5 	 28.0 	C35H16O	H	 453.127520 	 685087232.00 	 882193456.00 	 453.127392 	 -0.1284 	 -0.2834 	 452.6216 	 0.3784 	 -54 	 35 	 16 	 0 	 1 	 0 	 0.4571 	 0.0000 	 0.0286 	 0.0000 
+	 190 	O	 27.5 	 28.0 	C36H18O	H	 467.143132 	 272079968.00 	 349993216.00 	 467.143042 	 -0.0903 	 -0.1934 	 466.6215 	 0.3785 	 -54 	 36 	 18 	 0 	 1 	 0 	 0.5000 	 0.0000 	 0.0278 	 0.0000 
+	 191 	O	 27.5 	 28.0 	C37H20O	H	 481.158746 	 240362144.00 	 321357280.00 	 481.158692 	 -0.0543 	 -0.1128 	 480.6215 	 0.3785 	 -54 	 37 	 20 	 0 	 1 	 0 	 0.5405 	 0.0000 	 0.0270 	 0.0000 
+	 192 	O	 27.5 	 28.0 	C38H22O	H	 495.174416 	 105262200.00 	 105262200.00 	 495.174342 	 -0.0742 	 -0.1499 	 494.6215 	 0.3785 	 -54 	 38 	 22 	 0 	 1 	 0 	 0.5789 	 0.0000 	 0.0263 	 0.0000 
+	 193 	O	 27.5 	 28.0 	C39H24O	H	 509.190012 	 62339176.00 	 62339176.00 	 509.189992 	 -0.0202 	 -0.0396 	 508.6214 	 0.3786 	 -54 	 39 	 24 	 0 	 1 	 0 	 0.6154 	 0.0000 	 0.0256 	 0.0000 
+	 194 	O	 28.5 	 29.0 	C35H14O	H	 451.111784 	 124623368.00 	 124623368.00 	 451.111742 	 -0.0425 	 -0.0942 	 450.6081 	 0.3919 	 -56 	 35 	 14 	 0 	 1 	 0 	 0.4000 	 0.0000 	 0.0286 	 0.0000 
+	 195 	O	 28.5 	 29.0 	C36H16O	H	 465.127455 	 122166216.00 	 122166216.00 	 465.127392 	 -0.0634 	 -0.1363 	 464.6081 	 0.3919 	 -56 	 36 	 16 	 0 	 1 	 0 	 0.4444 	 0.0000 	 0.0278 	 0.0000 
+	 196 	O	 28.5 	 29.0 	C37H18O	H	 479.143116 	 357147008.00 	 470598544.00 	 479.143042 	 -0.0743 	 -0.1552 	 478.6081 	 0.3919 	 -56 	 37 	 18 	 0 	 1 	 0 	 0.4865 	 0.0000 	 0.0270 	 0.0000 
+	 197 	O	 28.5 	 29.0 	C38H20O	H	 493.158826 	 154020576.00 	 213685896.00 	 493.158692 	 -0.1343 	 -0.2723 	 492.6082 	 0.3918 	 -56 	 38 	 20 	 0 	 1 	 0 	 0.5263 	 0.0000 	 0.0263 	 0.0000 
+	 198 	O	 28.5 	 29.0 	C39H22O	H	 507.174487 	 188855968.00 	 253685280.00 	 507.174342 	 -0.1452 	 -0.2863 	 506.6082 	 0.3918 	 -56 	 39 	 22 	 0 	 1 	 0 	 0.5641 	 0.0000 	 0.0256 	 0.0000 
+	 199 	O	 28.5 	 29.0 	C40H24O	H	 521.190083 	 58688348.00 	 58688348.00 	 521.189992 	 -0.0912 	 -0.1749 	 520.6081 	 0.3919 	 -56 	 40 	 24 	 0 	 1 	 0 	 0.6000 	 0.0000 	 0.0250 	 0.0000 
+	 200 	O	 29.5 	 30.0 	C37H16O	H	 477.127513 	 440901728.00 	 578830672.00 	 477.127392 	 -0.1214 	 -0.2545 	 476.5947 	 0.4053 	 -58 	 37 	 16 	 0 	 1 	 0 	 0.4324 	 0.0000 	 0.0270 	 0.0000 
+	 201 	O	 29.5 	 30.0 	C38H18O	H	 491.143165 	 120498528.00 	 120498528.00 	 491.143042 	 -0.1233 	 -0.2511 	 490.5947 	 0.4053 	 -58 	 38 	 18 	 0 	 1 	 0 	 0.4737 	 0.0000 	 0.0263 	 0.0000 
+	 202 	O	 29.5 	 30.0 	C39H20O	H	 505.158809 	 239121616.00 	 324004488.00 	 505.158692 	 -0.1173 	 -0.2322 	 504.5947 	 0.4053 	 -58 	 39 	 20 	 0 	 1 	 0 	 0.5128 	 0.0000 	 0.0256 	 0.0000 
+	 203 	O	 29.5 	 30.0 	C40H22O	H	 519.174428 	 115655040.00 	 115655040.00 	 519.174342 	 -0.0862 	 -0.1661 	 518.5947 	 0.4053 	 -58 	 40 	 22 	 0 	 1 	 0 	 0.5500 	 0.0000 	 0.0250 	 0.0000 
+	 204 	O	 29.5 	 30.0 	C41H24O	H	 533.190100 	 89378320.00 	 89378320.00 	 533.189992 	 -0.1082 	 -0.2028 	 532.5947 	 0.4053 	 -58 	 41 	 24 	 0 	 1 	 0 	 0.5854 	 0.0000 	 0.0244 	 0.0000 
+	 205 	O	 31.5 	 32.0 	C39H16O	H	 501.127514 	 151695712.00 	 207659924.00 	 501.127392 	 -0.1224 	 -0.2443 	 500.5679 	 0.4321 	 -62 	 39 	 16 	 0 	 1 	 0 	 0.4103 	 0.0000 	 0.0256 	 0.0000 
+	 206 	O	 31.5 	 32.0 	C40H18O	H	 515.143152 	 64372176.00 	 64372176.00 	 515.143042 	 -0.1103 	 -0.2142 	 514.5679 	 0.4321 	 -62 	 40 	 18 	 0 	 1 	 0 	 0.4500 	 0.0000 	 0.0250 	 0.0000 
+	 207 	O	 31.5 	 32.0 	C41H20O	H	 529.158818 	 243387024.00 	 332240384.00 	 529.158692 	 -0.1263 	 -0.2386 	 528.5680 	 0.4320 	 -62 	 41 	 20 	 0 	 1 	 0 	 0.4878 	 0.0000 	 0.0244 	 0.0000 
+	 208 	O	 31.5 	 32.0 	C42H22O	H	 543.174478 	 108582456.00 	 108582456.00 	 543.174342 	 -0.1362 	 -0.2508 	 542.5680 	 0.4320 	 -62 	 42 	 22 	 0 	 1 	 0 	 0.5238 	 0.0000 	 0.0238 	 0.0000 
+	 209 	O	 31.5 	 32.0 	C43H24O	H	 557.190132 	 78323720.00 	 78323720.00 	 557.189992 	 -0.1402 	 -0.2515 	 556.5680 	 0.4320 	 -62 	 43 	 24 	 0 	 1 	 0 	 0.5581 	 0.0000 	 0.0233 	 0.0000 
+	 210 	O2	 17.5 	 18.0 	C22H10O2	H	 307.075395 	 769361344.00 	 913115440.00 	 307.075356 	 -0.0390 	 -0.1269 	 306.7325 	 0.2675 	 -34 	 22 	 10 	 0 	 2 	 0 	 0.4545 	 0.0000 	 0.0909 	 0.0000 
+	 211 	O2	 17.5 	 18.0 	C23H12O2	H	 321.091087 	 1086809984.00 	 1269615936.00 	 321.091006 	 -0.0809 	 -0.2520 	 320.7326 	 0.2674 	 -34 	 23 	 12 	 0 	 2 	 0 	 0.5217 	 0.0000 	 0.0870 	 0.0000 
+	 212 	O2	 17.5 	 18.0 	C24H14O2	H	 335.106858 	 385046272.00 	 470805912.00 	 335.106656 	 -0.2019 	 -0.6024 	 334.7327 	 0.2673 	 -34 	 24 	 14 	 0 	 2 	 0 	 0.5833 	 0.0000 	 0.0833 	 0.0000 
+	 213 	O2	 17.5 	 18.0 	C25H16O2	H	 349.122468 	 99735400.00 	 99735400.00 	 349.122306 	 -0.1618 	 -0.4634 	 348.7326 	 0.2674 	 -34 	 25 	 16 	 0 	 2 	 0 	 0.6400 	 0.0000 	 0.0800 	 0.0000 
+	 214 	O2	 17.5 	 18.0 	C26H18O2	H	 363.137976 	 75359024.00 	 75359024.00 	 363.137956 	 -0.0197 	 -0.0543 	 362.7325 	 0.2675 	 -34 	 26 	 18 	 0 	 2 	 0 	 0.6923 	 0.0000 	 0.0769 	 0.0000 
+	 215 	O2	 19.5 	 20.0 	C24H10O2	H	 331.075327 	 161995232.00 	 161995232.00 	 331.075356 	 0.0290 	 0.0876 	 330.7056 	 0.2944 	 -38 	 24 	 10 	 0 	 2 	 0 	 0.4167 	 0.0000 	 0.0833 	 0.0000 
+	 216 	O2	 19.5 	 20.0 	C25H12O2	H	 345.091058 	 137663968.00 	 137663968.00 	 345.091006 	 -0.0519 	 -0.1504 	 344.7057 	 0.2943 	 -38 	 25 	 12 	 0 	 2 	 0 	 0.4800 	 0.0000 	 0.0800 	 0.0000 
+	 217 	O2	 19.5 	 20.0 	C26H14O2	H	 359.106707 	 298868480.00 	 298868480.00 	 359.106656 	 -0.0509 	 -0.1416 	 358.7057 	 0.2943 	 -38 	 26 	 14 	 0 	 2 	 0 	 0.5385 	 0.0000 	 0.0769 	 0.0000 
+	 218 	O2	 19.5 	 20.0 	C27H16O2	H	 373.122517 	 292646784.00 	 374366272.00 	 373.122306 	 -0.2108 	 -0.5649 	 372.7059 	 0.2941 	 -38 	 27 	 16 	 0 	 2 	 0 	 0.5926 	 0.0000 	 0.0741 	 0.0000 
+	 219 	O2	 19.5 	 20.0 	C28H18O2	H	 387.137890 	 167150000.00 	 167150000.00 	 387.137956 	 0.0663 	 0.1712 	 386.7056 	 0.2944 	 -38 	 28 	 18 	 0 	 2 	 0 	 0.6429 	 0.0000 	 0.0714 	 0.0000 
+	 220 	O2	 20.5 	 21.0 	C26H12O2	H	 357.090997 	 1090739456.00 	 1318664960.00 	 357.091006 	 -0.0091 	 -0.0254 	 356.6923 	 0.3077 	 -40 	 26 	 12 	 0 	 2 	 0 	 0.4615 	 0.0000 	 0.0769 	 0.0000 
+	 221 	O2	 20.5 	 21.0 	C27H14O2	H	 371.106808 	 254831824.00 	 318511856.00 	 371.106656 	 -0.1519 	 -0.4092 	 370.6924 	 0.3076 	 -40 	 27 	 14 	 0 	 2 	 0 	 0.5185 	 0.0000 	 0.0741 	 0.0000 
+	 222 	O2	 20.5 	 21.0 	C28H16O2	H	 385.122479 	 249593632.00 	 315015048.00 	 385.122306 	 -0.1728 	 -0.4487 	 384.6924 	 0.3076 	 -40 	 28 	 16 	 0 	 2 	 0 	 0.5714 	 0.0000 	 0.0714 	 0.0000 
+	 223 	O2	 20.5 	 21.0 	C29H18O2	H	 399.138093 	 133140064.00 	 133140064.00 	 399.137956 	 -0.1367 	 -0.3426 	 398.6924 	 0.3076 	 -40 	 29 	 18 	 0 	 2 	 0 	 0.6207 	 0.0000 	 0.0690 	 0.0000 
+	 224 	O2	 20.5 	 21.0 	C30H20O2	H	 413.153628 	 72193712.00 	 72193712.00 	 413.153606 	 -0.0217 	 -0.0524 	 412.6923 	 0.3077 	 -40 	 30 	 20 	 0 	 2 	 0 	 0.6667 	 0.0000 	 0.0667 	 0.0000 
+	 225 	O2	 21.5 	 22.0 	C27H12O2	H	 369.091135 	 63785540.00 	 63785540.00 	 369.091006 	 -0.1289 	 -0.3493 	 368.6790 	 0.3210 	 -42 	 27 	 12 	 0 	 2 	 0 	 0.4444 	 0.0000 	 0.0741 	 0.0000 
+	 226 	O2	 21.5 	 22.0 	C28H14O2	H	 383.106680 	 399408288.00 	 502561408.00 	 383.106656 	 -0.0239 	 -0.0623 	 382.6789 	 0.3211 	 -42 	 28 	 14 	 0 	 2 	 0 	 0.5000 	 0.0000 	 0.0714 	 0.0000 
+	 227 	O2	 21.5 	 22.0 	C29H16O2	H	 397.122517 	 283872416.00 	 358128160.00 	 397.122306 	 -0.2108 	 -0.5308 	 396.6791 	 0.3209 	 -42 	 29 	 16 	 0 	 2 	 0 	 0.5517 	 0.0000 	 0.0690 	 0.0000 
+	 228 	O2	 21.5 	 22.0 	C30H18O2	H	 411.138024 	 185275872.00 	 185275872.00 	 411.137956 	 -0.0677 	 -0.1647 	 410.6789 	 0.3211 	 -42 	 30 	 18 	 0 	 2 	 0 	 0.6000 	 0.0000 	 0.0667 	 0.0000 
+	 229 	O2	 21.5 	 22.0 	C31H20O2	H	 425.153637 	 136223104.00 	 136223104.00 	 425.153606 	 -0.0307 	 -0.0721 	 424.6789 	 0.3211 	 -42 	 31 	 20 	 0 	 2 	 0 	 0.6452 	 0.0000 	 0.0645 	 0.0000 
+	 230 	O2	 22.5 	 23.0 	C28H12O2	H	 381.091224 	 625179136.00 	 767423808.00 	 381.091006 	 -0.2179 	 -0.5718 	 380.6657 	 0.3343 	 -44 	 28 	 12 	 0 	 2 	 0 	 0.4286 	 0.0000 	 0.0714 	 0.0000 
+	 231 	O2	 22.5 	 23.0 	C29H14O2	H	 395.106586 	 269060768.00 	 341775936.00 	 395.106656 	 0.0701 	 0.1775 	 394.6654 	 0.3346 	 -44 	 29 	 14 	 0 	 2 	 0 	 0.4828 	 0.0000 	 0.0690 	 0.0000 
+	 232 	O2	 22.5 	 23.0 	C30H16O2	H	 409.122397 	 226202864.00 	 281619036.00 	 409.122306 	 -0.0908 	 -0.2219 	 408.6656 	 0.3344 	 -44 	 30 	 16 	 0 	 2 	 0 	 0.5333 	 0.0000 	 0.0667 	 0.0000 
+	 233 	O2	 22.5 	 23.0 	C31H18O2	H	 423.138003 	 152475952.00 	 152475952.00 	 423.137956 	 -0.0467 	 -0.1104 	 422.6655 	 0.3345 	 -44 	 31 	 18 	 0 	 2 	 0 	 0.5806 	 0.0000 	 0.0645 	 0.0000 
